Lebron James,24.8,7.8,7.2,22.4,5,5.8,149.91,F
Chris Paul,8.9,7.2,3.8,14.2,2.5,1.1,96.84,G
Kevin Durant,28.3,5.7,6.6,23.3,6.2,5.7,83.69,F
James Harden,17.3,8.4,5.0,19.3,6.2,5.0,78.89,G
Stephen Curry,28.0,4.9,4.4,21.7,5.3,6.1,68.83,G
Nikola Jokic,26.3,9.0,12.2,31.6,10.8,13.97,59.94,C
Russell Westbrook,11.3,4.6,5.4,16.6,2.1,1.2,57.87,G
Giannis Antetokounmpo,30.7,6.3,11.4,29.5,9.1,8.5,53.53,C
Damian Liliard,24.6,6.7,4.1,20.0,5.4,2.0,50.40,G
Anthony Davis,24.6,3.9,12.1,25.5,7.7,5.4,49.49,C
Kawhi Leonard,24.1,3.7,6.2,23.7,7.0,6.3,47.41, F
Jimmy Butler,21.4,4.6,5.5,22.4,5.6,4.7,46.22,F
Kyle Lowry,8.2,4.0,3.5,10.8,2.0,-0.9,43.05,G
Al Horford,8.0,2.9,6.7,14.2,4.2,3.7,42.17,C
Paul George,22.4,3.6,5.3,18.6,4.6,2.4,42.15,F
Kyrie Irving,25.2,5.4,5.1,22.1,3.1,5.0,39.57,G
Mike Conley,10.6,6.5,2.9,15.4,5.6,3.6,38.25,G
Kevin Love,9.1,2.3,6.3,18.5,2.8,4.0,36.02,C
Blake Griffin,19.0,4.0,8.0,21.0,81.1,0.1,32.83,C
Karl-Anthony Towns,22.5,2.9,8.4,19.3,5.9,2.9,31.66,C
Luka Doncic,34.3,9.6,8.8,28.1,7.7,9.7,31.52,G
Joel Embiid,35.3,5.7,11.3,34.3,6.8,11.83,30.91,C
